Local ID,Member,Period,T0 Primary,T0 Secondary,Depth Primary,Depth Secondary,Duration Primary,Duration Secondary
TIC 9493888,Member A,2.098992,1816.2345,1817.283786,146,117,2.9,2.7
TIC 25818450,Member A,10.132402,1769.9109,1776.391584,12,9,,
TIC 27543409,Member A,2.122862,1493.1001,1494.153889,50,15,,
TIC 31928452,Member A,2.8823,1337.9129,1339.358085,30,25,2.1,1.6
TIC 52856877,Member A,5.186818,1791.059,1793.652928,220,90,5.5,5.5
TIC 63459761,Member A,4.244072,1715.1118,1717.168477,15,10,7,9.2
TIC 73296637,Member A,1.483742,1493.5234,1493.5234,11,,,
TIC 75740921,Member A,0.93308,1519.6949,1520.16256,87,59,2.7,2.6
TIC 78568780,Member A,2.88838,1468.5374,1469.962816,57,20,3.9,3.7
TIC 79140936,Member A,3.54389,1468.3795,1469.78607,23,7,3.7,3.4
TIC 80914862,Member A,1.967319,1492.6062,1492.6062,95,,,
TIC 82818966,Member A,2.417501,1522.0949,1522.0949,15,,,
TIC 89278612,Member A,2.557052,1684.2273,1685.507872,53,32,4.5,4.6
TIC 95928255,Member A,2.36543,1518.123,1519.306425,150,120,2.5,2.5
TIC 97356407,Member A,1.533535,1494.5954,1495.363548,15,5,4,4
TIC 123098844,Member A,1.730707,1685.852,1685.852,35,,,
TIC 125952257,Member A,2.161915,1492.877,1494.203119,140,100,4.8,4.9
TIC 130276377,Member A,2.757776,1495.0112,1496.344033,74,48,4.6,4.7
TIC 139650665,Member A,2.091887,1439.7823,1440.82657,110,31,3.4,3
TIC 139944266,Member A,1.443586,1518.7658,1518.7658,10,,,
TIC 146810480,Member A,0.544981,1545.7233,1545.7233,25,,,
TIC 161043618,Member A,1.350249,1744.7203,1745.394749,75,20,4,4
TIC 177810207,Member A,1.422857,1493.1115,1493.823071,125,90,3.4,3.3
TIC 178953404,Member A,3.182144,1438.3095,1439.90089,40,25,2.2,2.6
TIC 190895730,Member A,0.459147,1519.026,1519.026,85,,,
TIC 200094011,Member A,2.135567,1473.4704,1474.5416,180,55,6.3,4.8
TIC 201310151,Member A,5.538208,1335.888,1338.466036,59,52,2.7,2.6
TIC 204698586,Member A,0.84381,1571.127,1571.558103,40,13,1.8,1.9
TIC 207137124,Member A,0.995134,1354.9037,1355.40067,50,45,1.4,1.3
TIC 219469945,Member A,2.717596,1959.7065,1961.069103,125,43,4.1,4
TIC 232087348,Member A,2.614296,1325.4831,1326.787111,150,40,4.7,4.8
TIC 239872462,Member A,0.935825,1817.9507,1818.419268,55,30,,
TIC 250119205,Member A,2.426677,1601.8218,1603.034653,50,25,3.5,3.6
TIC 251757935,Member A,1.203606,1790.9094,1790.9094,110,,,
TIC 255532033,Member A,4.173996,1629.2844,1631.637699,140,130,7,7.7
TIC 256158466,Member A,5.774547,1627.0833,1629.95094,131,128,3.1,3.4
TIC 257776944,Member A,1.225515,1627.1031,1627.1031,120,,,
TIC 260056937,Member A,2.446538,1819.2142,1820.437714,230,190,6,5.9
TIC 264402353,Member A,1.697811,1765.9711,1765.9711,15,,,
TIC 265274458,Member A,2.997813,1766.3538,1766.3538,60,,,
TIC 266657256,Member A,4.919396,1492.7016,1492.7016,40,,,
TIC 266771301,Member A,3.479611,1818.1561,1819.904952,11,4,3.8,3.3
TIC 269811101,Member A,1.094351,1767.6151,1768.165777,260,175,4.4,4.4
TIC 271186951,Member A,1.731754,1520.1093,1520.97968,80,45,5.4,3.5
TIC 274791367,Member A,1.207163,1544.2019,1544.80524,110,100,4.9,4.8
TIC 278352276,Member A,12.403102,1686.0153,1693.439797,125,100,8.7,9.8
TIC 283940788,Member A,0.876867,1765.7469,1766.180072,30,10,6.5,6.5
TIC 284814380,Member A,4.079268,1796.4922,1798.531018,175,128,6.2,6.3
TIC 285655079,Member A,2.456281,1631.341,1632.606722,220,200,7.5,6.5
TIC 285681367,Member A,2.366008,1791.9779,1792.795829,135,110,4.4,4.9
TIC 286470992,Member A,3.110381,1820.1502,1820.1502,20,,,
TIC 292318612,Member A,1.665448,1792.9663,1792.9663,130,,,
TIC 300446218,Member A,5.557302,1659.78,1662.516971,50,30,2.3,2.2
TIC 306903715,Member A,4.86821,1471.9531,1471.9531,24,,,
