Local ID,Member,Period,T0 Primary,T0 Secondary,Duration Primary,Duration Secondary,Depth Primary,Depth Secondary
20212631,Member A,0.297159,1930.599,,1.2,,215,
13021681,Member A,0.540612,2175.6784,,1,,40,
278465736,Member A,0.61421,1711.5155,1711.8239,4,4,88,88
442333487,Member A,0.62141,1544.7823,1546.6572,3.2,,8,
282005870,Member A,0.681089,1684.2493,1691.4003,2.2,2.1,37,15
24700485,Member A,0.73981,2181.3995,2199.5196,1.5,1.5,5,5
444816203,Member A,0.75363,2362.6728,2362.3029,3.3,2.7,25,11
167800999,Member A,0.79276,2283.445,,2.2,,35,
456737763,Member A,0.79935,2230.1341,,4,,37,
139914081,Member A,0.84712,1337.1178,,1.2,,18,
238558210,Member A,0.972387,2474.7807,,3.5,,33,
274481742,Member A,1.010966,1817.5122,1820.0448,2.4,2.2,11,7
32945664,Member A,1.014579,1476.0807,,2.5,,22,
329089161,Member A,1.12714,1604.7435,,2,,5,
458108996,Member A,1.182144,1573.7768,,2.5,,36,
321474625,Member A,1.3171,1573.096,1573.7561,10.2,3.8,32,21
33721975,Member A,1.35895,1544.8069,1545.3045,3.5,,132,
43472931,Member A,1.361337,1440.2465,1443.655,1.8,2.2,85,39
459705607,Member A,1.37597,1587.8786,,4.9,,177,
354314226,Member A,1.388452,1792.9147,,3.8,,47,
36439758,Member A,1.41561,1470.7479,,3,,,
134744873,Member A,1.440517,1495.4828,1493.3151,4,3,54,6
458606169,Member A,1.44213,1572.7589,1572.0231,2.3,2.2,61,45
429901945,Member A,1.516586,2475.7072,2474.9462,4.7,4.5,275,265
375036945,Member A,1.58979,1326.1236,,2.2,,50,
386414884,Member A,1.64078,1545.7183,1561.2886,3.4,3.1,12,7
418699570,Member A,1.67372,1765.374,1766.1995,2.6,2.6,15,8
356318101,Member A,1.68477,1984.0946,,2.8,,31,
128802666,Member A,1.693168,1496.8473,,3.8,,17,
80893927,Member A,1.74582,2476.0086,,4,,13,
74919381,Member A,1.75267,2475.5188,2474.6444,3.7,3.8,48,44
371583423,Member A,1.76497,1740.253,1742.9034,2.7,2.1,72,27
285853156,Member A,1.766053,2475.9659,2475.0906,2.1,2,48,12
293442412,Member A,1.785155,1544.9978,1545.8842,4.4,4,38,20
140241924,Member A,1.80352,1544.5094,1545.4188,2.3,2.1,65,57
346000664,Member A,1.829758,1765.7296,1764.8983,4,4,121,55
407060024,Member A,1.856892,1765.7412,,2.5,,12,
284806955,Member A,1.887222,1767.1486,1766.1456,2.5,3.9,27,14
202664216,Member A,1.99193,1766.5906,1765.5871,2.5,2.5,62,18
120911334,Member A,2.00051,1820.0645,1818.8715,3.6,4,124,77
144686626,Member A,2.028061,1494.6143,1493.5953,3.4,3.4,33,26
273919067,Member A,2.13939,1716.8591,1711.4956,2.9,2.5,43,26
121511673,Member A,2.15904,1819.8709,1818.8011,5.3,5,126,85
466187603,Member A,2.215998,1572.8965,1576.2624,6.2,6.5,35,23
29046597,Member A,2.23104,1520.1041,1521.3842,3.6,3.5,116,42
262755078,Member A,2.266359,1492.5728,,2.7,,47,
144475902,Member A,2.29905,2981.6044,,5.4,,31,
140328928,Member A,2.300008,1492.7755,1493.8745,4.3,3.4,45,13
38542448,Member A,2.307661,2144.7349,2145.8878,3.3,3.3,130,78
274862252,Member A,2.3437,1627.085,1632.9556,5,4,9,4
58539786,Member A,2.461095,1818.9304,1817.7069,2.3,,75,42
278142612,Member A,2.50609,1416.7194,1415.473,3,2.7,7,5
130533284,Member A,2.50659,1494.2085,1492.9671,4.8,4.7,22,17
153406662,Member A,2.521312,1470.4936,1469.2219,3.4,3.4,25,4
160514618,Member A,2.52811,1713.0935,,4.4,,113,
384410712,Member A,2.60443,1686.9347,,6.5,,64,
265684107,Member A,2.625882,1819.8278,1820.7852,3.5,3.5,102,60
240256832,Member A,2.6484,1713.8447,,4.4,,30,
470397849,Member A,2.65162,1819.3566,,3.2,,11,
387288959,Member A,2.69633,1739.4627,2827.4311,3.3,3.3,74,13
50198590,Member A,2.71566,1796.0411,1797.5968,2.9,4.6,67,20
