Local ID,Catalog,Catalog ID,Association
TIC 74919381,GAIA DR3,3440757674454539008,GAIA object within 2.0 arcsec of TIC object
TIC 140593601,GAIA DR3,5522807049023318400,GAIA object within 2.0 arcsec of TIC object
TIC 75740921,GAIA DR3,5423787166437660032,GAIA object within 2.0 arcsec of TIC object
TIC 322727163,GAIA DR3,2180387912158160512,GAIA object within 2.0 arcsec of TIC object
TIC 283940788,GAIA DR3,430724888397553280,GAIA object within 2.0 arcsec of TIC object
TIC 191283915,GAIA DR3,381463980026217344,GAIA object within 2.0 arcsec of TIC object
TIC 191283915,GAIA DR3,381463984320361344,GAIA object within 2.0 arcsec of TIC object
TIC 59453672,GAIA DR3,3363552132614602880,GAIA object within 2.0 arcsec of TIC object
TIC 38542448,GAIA DR3,3244308760848449536,GAIA object within 2.0 arcsec of TIC object
TIC 414475823,GAIA DR3,5880732619728164736,GAIA object within 2.0 arcsec of TIC object
TIC 348651800,GAIA DR3,5727738565990859008,GAIA object within 2.0 arcsec of TIC object
TIC 78568780,GAIA DR3,2925879645017239552,GAIA object within 2.0 arcsec of TIC object
TIC 36439758,GAIA DR3,3113214844168908928,GAIA object within 2.0 arcsec of TIC object
TIC 33721975,GAIA DR3,5409884907056853120,GAIA object within 2.0 arcsec of TIC object
TIC 329089161,GAIA DR3,5843019985045477504,GAIA object within 2.0 arcsec of TIC object
TIC 54577663,GAIA DR3,3373185061364089216,GAIA object within 2.0 arcsec of TIC object
TIC 282005870,GAIA DR3,2027513705226210816,GAIA object within 2.0 arcsec of TIC object
TIC 161043618,GAIA DR3,1594082407606370176,GAIA object within 2.0 arcsec of TIC object
TIC 50198590,GAIA DR3,515716106421383296,GAIA object within 2.0 arcsec of TIC object
TIC 418699570,GAIA DR3,430079440716188032,GAIA object within 2.0 arcsec of TIC object
TIC 141733685,GAIA DR3,5329397357374933760,GAIA object within 2.0 arcsec of TIC object
TIC 140328928,GAIA DR3,5615589307679470720,GAIA object within 2.0 arcsec of TIC object
TIC 293442412,GAIA DR3,5311706868129358848,GAIA object within 2.0 arcsec of TIC object
TIC 219006972,GAIA DR3,1669481894221366912,GAIA object within 2.0 arcsec of TIC object
TIC 304713857,GAIA DR3,1810154481340351360,GAIA object within 2.0 arcsec of TIC object
TIC 95928255,GAIA DR3,5743326067457954944,GAIA object within 2.0 arcsec of TIC object
TIC 367448265,GAIA DR3,185395080832205440,GAIA object within 2.0 arcsec of TIC object
TIC 93373156,GAIA DR3,2965942309670860288,GAIA object within 2.0 arcsec of TIC object
TIC 153406662,GAIA DR3,3328632747127743104,GAIA object within 2.0 arcsec of TIC object
TIC 274791367,GAIA DR3,5259511504953856640,GAIA object within 2.0 arcsec of TIC object
