Local ID,Catalog,Catalog ID,Association
TIC 9493888,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-1,ID of external group
TIC 25818450,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-2,ID of external group
TIC 27543409,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-3,ID of external group
TIC 31928452,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-4,ID of external group
TIC 31928452,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-5,ID of external group
TIC 52856877,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-6,ID of external group
TIC 63459761,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-7,ID of external group
TIC 73296637,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-8,ID of external group
TIC 75740921,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-9,ID of external group
TIC 78568780,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-10,ID of external group
TIC 79140936,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-11,ID of external group
TIC 80914862,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-12,ID of external group
TIC 82818966,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-13,ID of external group
TIC 89278612,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-14,ID of external group
TIC 95928255,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-15,ID of external group
TIC 97356407,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-16,ID of external group
TIC 123098844,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-17,ID of external group
TIC 125952257,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-18,ID of external group
TIC 130276377,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-19,ID of external group
TIC 139650665,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-20,ID of external group
TIC 139944266,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-21,ID of external group
TIC 146810480,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-22,ID of external group
TIC 161043618,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-23,ID of external group
TIC 177810207,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-24,ID of external group
TIC 178953404,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-25,ID of external group
TIC 190895730,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-26,ID of external group
TIC 200094011,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-27,ID of external group
TIC 201310151,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-28,ID of external group
TIC 204698586,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-29,ID of external group
TIC 207137124,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-30,ID of external group
TIC 219469945,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-31,ID of external group
TIC 232087348,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-32,ID of external group
TIC 239872462,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-33,ID of external group
TIC 250119205,TESS/Goddard/VSG quadruple candidate (Kostov),TGV-34,ID of external group
